Name	Type	County	Population	Area	Area_km	Incorporated
Shafter	City	Kern	16,988	27.94	72.4	January 20, 1938
Shasta Lake	City	Shasta	10,164	10.92	28.3	July 2, 1993
Sierra Madre	City	Los Angeles	10,917	2.95	7.6	February 2, 1907
Signal Hill	City	Los Angeles	11,016	2.19	5.7	April 22, 1924
Simi Valley	City	Ventura	124,237	41.48	107.4	October 10, 1969
Solana Beach	City	San Diego	12,867	3.52	9.1	July 1, 1986
Soledad	City	Monterey	25,738	4.41	11.4	March 9, 1921
Solvang	City	Santa Barbara	5,245	2.43	6.3	May 1, 1985
Sonoma	City	Sonoma	10,648	2.74	7.1	September 3, 1883
SonoraCounty seat	City	Tuolumne	4,903	3.06	7.9	May 1, 1851
South El Monte	City	Los Angeles	20,116	2.84	7.4	July 30, 1958
South Gate	City	Los Angeles	94,396	7.24	18.8	January 20, 1923
South Lake Tahoe	City	El Dorado	21,403	10.16	26.3	November 30, 1965
South Pasadena	City	Los Angeles	25,619	3.41	8.8	March 2, 1888
South San Francisco	City	San Mateo	63,632	9.14	23.7	September 19, 1908
Stanton	City	Orange	38,186	3.15	8.2	June 4, 1956
StocktonCounty seat	City	San Joaquin	291,707	61.67	159.7	July 23, 1850
Suisun City	City	Solano	28,111	4.11	10.6	October 9, 1868
Sunnyvale	City	Santa Clara	140,081	21.99	57.0	December 24, 1912
SusanvilleCounty seat	City	Lassen	17,947	7.93	20.5	August 24, 1900
Sutter Creek	City	Amador	2,501	2.56	6.6	February 11, 1913
Taft	City	Kern	9,327	15.11	39.1	November 7, 1910
Tehachapi	City	Kern	14,414	9.87	25.6	August 13, 1909
Tehama	City	Tehama	418	0.79	2.0	July 5, 1906
Temecula	City	Riverside	100,097	30.15	78.1	December 1, 1989
Temple City	City	Los Angeles	35,558	4.01	10.4	May 25, 1960
Thousand Oaks	City	Ventura	126,683	55.03	142.5	October 7, 1964
Tiburon	Town	Marin	8,962	4.43	11.5	June 23, 1964
Torrance	City	Los Angeles	145,538	20.48	53.0	May 21, 1921
Tracy	City	San Joaquin	82,922	22.00	57.0	July 22, 1910
Trinidad	City	Humboldt	367	0.48	1.2	November 7, 1870
Truckee	Town	Nevada	16,180	32.32	83.7	March 23, 1993
Tulare	City	Tulare	59,278	20.93	54.2	April 5, 1888
Tulelake	City	Siskiyou	1,010	0.41	1.1	March 1, 1937
Turlock	City	Stanislaus	68,549	16.93	43.8	February 15, 1908
Tustin	City	Orange	75,540	11.08	28.7	September 21, 1927
Twentynine Palms	City	San Bernardino	25,048	59.14	153.2	November 23, 1987
UkiahCounty seat	City	Mendocino	16,075	4.67	12.1	March 8, 1876
Union City	City	Alameda	69,516	19.47	50.4	January 26, 1959
Upland	City	San Bernardino	73,732	15.62	40.5	May 15, 1906
Vacaville	City	Solano	92,428	28.37	73.5	August 9, 1892
Vallejo	City	Solano	115,942	30.67	79.4	March 30, 1868
VenturaCounty seat	City	Ventura	106,433	21.65	56.1	April 2, 1866
Vernon	City	Los Angeles	112	4.97	12.9	September 22, 1905
Victorville	City	San Bernardino	115,903	73.18	189.5	September 21, 1962
Villa Park	City	Orange	5,812	2.08	5.4	January 11, 1962
VisaliaCounty seat	City	Tulare	124,442	36.25	93.9	February 27, 1874
Vista	City	San Diego	93,834	18.68	48.4	January 28, 1963
Walnut	City	Los Angeles	29,172	8.99	23.3	January 19, 1959
Walnut Creek	City	Contra Costa	64,173	19.76	51.2	October 21, 1914
Wasco	City	Kern	25,545	9.43	24.4	December 22, 1945
Waterford	City	Stanislaus	8,456	2.33	6.0	November 7, 1969
Watsonville	City	Santa Cruz	51,199	6.69	17.3	March 30, 1868
Weed	City	Siskiyou	2,967	4.79	12.4	January 25, 1961
West Covina	City	Los Angeles	106,098	16.04	41.5	February 17, 1923
West Hollywood	City	Los Angeles	34,399	1.89	4.9	November 29, 1984
West Sacramento	City	Yolo	48,744	21.43	55.5	January 1, 1987
Westlake Village	City	Los Angeles	8,270	5.19	13.4	December 11, 1981
Westminster	City	Orange	89,701	10.05	26.0	March 27, 1957
Westmorland	City	Imperial	2,225	0.59	1.5	June 30, 1934
Wheatland	City	Yuba	3,456	1.48	3.8	April 23, 1874
Whittier	City	Los Angeles	85,331	14.65	37.9	February 25, 1898
Wildomar	City	Riverside	32,176	23.69	61.4	July 1, 2008
Williams	City	Colusa	5,123	5.44	14.1	May 17, 1920
Willits	City	Mendocino	4,888	2.80	7.3	November 19, 1888
WillowsCounty seat	City	Glenn	6,166	2.85	7.4	January 16, 1886
Windsor	Town	Sonoma	26,801	7.27	18.8	July 1, 1992
Winters	City	Yolo	6,624	2.91	7.5	February 9, 1898
Woodlake	City	Tulare	7,279	2.25	5.8	September 23, 1941
WoodlandCounty seat	City	Yolo	55,468	15.30	39.6	February 22, 1871
Woodside	Town	San Mateo	5,287	11.73	30.4	November 16, 1956
Yorba Linda	City	Orange	64,234	19.48	50.5	November 2, 1967
Yountville	Town	Napa	2,933	1.53	4.0	February 4, 1965
YrekaCounty seat	City	Siskiyou	7,765	9.98	25.8	April 21, 1857
Yuba CityCounty seat	City	Sutter	64,925	14.58	37.8	January 23, 1908
Yucaipa	City	San Bernardino	51,367	27.89	72.2	November 27, 1989
Yucca Valley	Town	San Bernardino	20,700	40.02	103.7	November 27, 1991
