name	freq	count	rank
GENA	0.01	15,181	879
BRIANA	0.01	15,181	880
ARACELI	0.01	15,181	881
KATELYN	0.01	15,181	882
ROSANNE	0.01	15,181	883
WENDI	0.01	15,181	884
TESSA	0.01	15,181	885
BERTA	0.01	15,181	886
MARVA	0.01	15,181	887
IMELDA	0.01	15,181	888
MARIETTA	0.01	15,181	889
MARCI	0.01	15,181	890
LEONOR	0.01	15,181	891
ARLINE	0.01	15,181	892
SASHA	0.01	15,181	893
MADELYN	0.01	15,181	894
JANNA	0.01	15,181	895
JULIETTE	0.01	15,181	896
DEENA	0.01	15,181	897
AURELIA	0.01	15,181	898
JOSEFA	0.01	15,181	899
AUGUSTA	0.01	15,181	900
LILIANA	0.01	15,181	901
YOUNG	0.01	15,181	902
CHRISTIAN	0.01	15,181	903
LESSIE	0.01	15,181	904
AMALIA	0.01	15,181	905
SAVANNAH	0.01	15,181	906
ANASTASIA	0.01	15,181	907
VILMA	0.01	15,181	908
NATALIA	0.01	15,181	909
ROSELLA	0.01	15,181	910
LYNNETTE	0.01	15,181	911
CORINA	0.01	15,181	912
ALFREDA	0.009	13,663	913
LEANNA	0.009	13,663	914
CAREY	0.009	13,663	915
AMPARO	0.009	13,663	916
COLEEN	0.009	13,663	917
TAMRA	0.009	13,663	918
AISHA	0.009	13,663	919
WILDA	0.009	13,663	920
KARYN	0.009	13,663	921
CHERRY	0.009	13,663	922
QUEEN	0.009	13,663	923
MAURA	0.009	13,663	924
MAI	0.009	13,663	925
EVANGELINA	0.009	13,663	926
ROSANNA	0.009	13,663	927
HALLIE	0.009	13,663	928
ERNA	0.009	13,663	929
ENID	0.009	13,663	930
MARIANA	0.009	13,663	931
LACY	0.009	13,663	932
JULIET	0.009	13,663	933
JACKLYN	0.009	13,663	934
FREIDA	0.009	13,663	935
MADELEINE	0.009	13,663	936
MARA	0.009	13,663	937
HESTER	0.009	13,663	938
CATHRYN	0.009	13,663	939
LELIA	0.009	13,663	940
CASANDRA	0.009	13,663	941
BRIDGETT	0.009	13,663	942
ANGELITA	0.009	13,663	943
JANNIE	0.009	13,663	944
DIONNE	0.009	13,663	945
ANNMARIE	0.009	13,663	946
KATINA	0.009	13,663	947
BERYL	0.009	13,663	948
PHOEBE	0.009	13,663	949
MILLICENT	0.009	13,663	950
KATHERYN	0.009	13,663	951
DIANN	0.009	13,663	952
CARISSA	0.009	13,663	953
MARYELLEN	0.009	13,663	954
LIZ	0.009	13,663	955
LAURI	0.009	13,663	956
HELGA	0.009	13,663	957
GILDA	0.009	13,663	958
ADRIAN	0.009	13,663	959
RHEA	0.009	13,663	960
MARQUITA	0.009	13,663	961
HOLLIE	0.009	13,663	962
TISHA	0.009	13,663	963
TAMERA	0.009	13,663	964
ANGELIQUE	0.009	13,663	965
FRANCESCA	0.009	13,663	966
BRITNEY	0.009	13,663	967
KAITLIN	0.009	13,663	968
LOLITA	0.009	13,663	969
FLORINE	0.009	13,663	970
ROWENA	0.009	13,663	971
REYNA	0.009	13,663	972
TWILA	0.009	13,663	973
FANNY	0.009	13,663	974
JANELL	0.009	13,663	975
INES	0.009	13,663	976
CONCETTA	0.009	13,663	977
BERTIE	0.009	13,663	978
ALBA	0.009	13,663	979
BRIGITTE	0.009	13,663	980
ALYSON	0.009	13,663	981
VONDA	0.008	12,145	982
PANSY	0.008	12,145	983
ELBA	0.008	12,145	984
NOELLE	0.008	12,145	985
LETITIA	0.008	12,145	986
KITTY	0.008	12,145	987
DEANN	0.008	12,145	988
BRANDIE	0.008	12,145	989
LOUELLA	0.008	12,145	990
LETA	0.008	12,145	991
FELECIA	0.008	12,145	992
SHARLENE	0.008	12,145	993
LESA	0.008	12,145	994
BEVERLEY	0.008	12,145	995
ROBERT	0.008	12,145	996
ISABELLA	0.008	12,145	997
HERMINIA	0.008	12,145	998
TERRA	0.008	12,145	999
CELINA	0.008	12,145	1000
